District,DistrictCode,IDE,TotalEmployees,EPP,Total,Pupils,TotalEPP
Rochester,2500000,8340671,507,16467,8956930,526,17019
Rockland,2510000,42401141,2145,19767,47230459,2314,20407
Rockport,2520000,18766506,747,25119,21579460,800,26981
Rowe,2530000,2102667,70,29867,2754046,94,29267
Roxbury Preparatory Charter (District),4840000,30796028,1502,20509,30796028,1502,20509
Salem,2580000,86918074,3720,23363,101392499,4364,23235
Salem Academy Charter (District),4850000,8461353,490,17261,8461353,490,17261
Sandwich,2610000,49593490,2300,21561,57320288,2607,21989
Saugus,2620000,43953316,2511,17506,53394108,2854,18706
Savoy,2630000,1116476,51,21892,1404783,66,21156
Scituate,2640000,50188133,2772,18105,54157648,2832,19121
Seekonk,2650000,36518378,2091,17461,40387033,2147,18812
Sharon,2660000,65576829,3585,18293,70830660,3661,19350
Shawsheen Valley Regional Vocational Technical,8710000,34332017,1306,26296,34375401,1313,26175
Sherborn,2690000,8379590,406,20660,8988106,409,21997
Shrewsbury,2710000,93859685,5944,15790,102300580,6177,16562
Shutesbury,2720000,3213606,115,27872,3377068,133,25315
Silver Lake,7600000,33304804,1712,19450,34476685,1798,19179
Sizer School: A North Central Charter Essential (District),4740000,5601994,353,15862,5601994,353,15862
Somerset,2730000,27975073,1681,16646,29888828,1749,17088
Somerset Berkley Regional School District,7630000,16466345,995,16557,18964928,1050,18060
Somerville,2740000,115507434,4821,23958,130842310,5283,24768
South Hadley,2780000,29721017,1775,16748,35182448,2038,17265
South Middlesex Regional Vocational Technical,8290000,23907283,827,28908,23907283,830,28804
South Shore Charter Public (District),4880000,16546291,1044,15853,16546291,1044,15853
South Shore Regional Vocational Technical,8730000,15851166,651,24360,15851166,651,24360
Southampton,2750000,6989940,467,14974,8661299,547,15826
Southborough,2760000,26601695,1260,21107,29194475,1293,22584
Southbridge,2770000,38818861,1864,20823,45895779,2266,20257
Southeastern Regional Vocational Technical,8720000,35725871,1614,22134,35726969,1615,22121
Southern Berkshire,7650000,18182260,623,29176,19506742,766,25459
Southern Worcester County Regional Vocational School District,8760000,24763856,1161,21324,24967340,1197,20862
Southwick-Tolland-Granville Regional School District,7660000,24210887,1365,17743,26510717,1465,18096
Spencer-E Brookfield,7670000,23307703,1380,16886,28225378,1638,17230
Springfield,2810000,513854110,24040,21375,606907322,29540,20545
Springfield International Charter (District),4410000,19730311,1524,12944,19730311,1524,12944
Springfield Preparatory Charter School (District),35100000,7340146,433,16948,7340146,433,16948
Stoneham,2840000,40800896,2249,18139,47914044,2477,19347
Stoughton,2850000,61466024,3510,17514,68318286,3740,18266
Sturbridge,2870000,14513949,868,16729,16979331,903,18812
Sturgis Charter Public (District),4890000,12657224,843,15013,12657224,843,15013
Sudbury,2880000,50982907,2544,20039,52826939,2583,20450
Sunderland,2890000,4516936,189,23849,4765970,218,21862
Sutton,2900000,22379828,1291,17338,24622074,1341,18356
Swampscott,2910000,39415922,2053,19198,44731156,2187,20453
Swansea,2920000,30430839,2027,15016,32051658,2102,15250
TEC Connections Academy Commonwealth Virtual School District,39020000,29334090,2698,10874,29334090,2698,10874
Tantasqua,7700000,29526319,1776,16622,29968568,1834,16340
Taunton,2930000,119058748,7897,15077,136739255,8341,16394
Tewksbury,2950000,62165733,3240,19189,70866934,3428,20675
Tisbury,2960000,10001386,297,33641,11311315,385,29350
Topsfield,2980000,11973138,630,18993,12345587,642,19239
Tri-County Regional Vocational Technical,8780000,22025187,947,23258,22080000,950,23242
Triton,7730000,47604733,2185,21786,52888371,2374,22282
Truro,3000000,5083993,114,44753,7498214,220,34036
Tyngsborough,3010000,27517252,1628,16902,31290619,1775,17631
UP Academy Charter School of Boston (District),4800000,6908925,303,22783,6908925,303,22783
UP Academy Charter School of Dorchester (District),35050000,9299068,630,14755,9299068,630,14755
Up-Island Regional,7740000,12695145,408,31146,13917377,459,30348
Upper Cape Cod Regional Vocational Technical,8790000,20103582,753,26716,20135582,759,26533
Uxbridge,3040000,29627338,1637,18095,33835228,1812,18669
Veritas Preparatory Charter School (District),4980000,8435264,368,22935,8435264,368,22935
Wachusett,7750000,104135917,6756,15413,114791137,7005,16388
Wakefield,3050000,60527539,3337,18138,65172025,3467,18800
Wales,3060000,2165342,115,18845,2808263,142,19721
Walpole,3070000,64587517,3670,17598,69866438,3776,18501
Waltham,3080000,132008101,5628,23454,140205675,5831,24045
Ware,3090000,20112698,1123,17903,22773050,1325,17185
Wareham,3100000,44652497,2030,21995,51863450,2422,21413
Watertown,3140000,64054842,2604,24600,71436263,2747,26006
Wayland,3150000,57503613,2740,20986,59929914,2777,21579
Webster,3160000,31711288,1709,18555,36637128,1947,18819
Wellesley,3170000,102520777,4320,23732,110932530,4382,25313
Wellfleet,3180000,3702261,114,32448,4084846,140,29219
West Boylston,3220000,16263606,888,18319,18710412,979,19114
West Bridgewater,3230000,20133832,1390,14487,22006929,1423,15467
West Springfield,3320000,63971999,3875,16509,70390588,4032,17456
Westborough,3210000,72743047,3906,18625,77168396,3972,19427
Westfield,3250000,83363612,4871,17116,90872674,5179,17548
Westford,3260000,78540460,4784,16418,84582483,4881,17328
Westhampton,3270000,2650697,106,24913,3185116,130,24482
Weston,3300000,57335241,1958,29286,60645742,1992,30446
Westport,3310000,25706336,1462,17581,28965190,1626,17816
Westwood,3350000,63805817,2906,21956,65763675,2940,22370
Weymouth,3360000,99640874,5555,17936,113772071,5997,18972
Whately,3370000,2736392,122,22356,2858056,129,22087
Whitman-Hanson,7800000,58243459,3565,16339,64207403,3698,17362
Whittier Regional Vocational Technical,8850000,28828483,1267,22748,28932164,1268,22810
Williamsburg,3400000,2986728,140,21334,4011369,189,21235
Wilmington,3420000,60339738,2839,21252,67359006,2930,22988
Winchendon,3430000,21086791,1211,17413,23653870,1390,17018
Winchester,3440000,74435017,4373,17022,80076338,4450,17995
Winthrop,3460000,31502894,1905,16540,34046429,1954,17424
Woburn,3470000,91947708,4393,20929,100736054,4588,21958
Worcester,3480000,445807254,24165,18449,507561468,27211,18653
Worthington,3490000,1751122,71,24664,2228227,137,16276
Wrentham,3500000,17144904,894,19169,18773635,956,19640
State Totals,0,18038722685,921898,19567,20197461902,1003168,20134
